"id","scale_denominator","mi","inom"
51,100000,"2082","SD-23-Y-A-I"
52,100000,"2083","SD-23-Y-A-II"
53,100000,"2084","SD-23-Y-A-III"
54,100000,"2223","SD-23-Z-C-VI"
55,100000,"2126","SD-23-Y-A-IV"
56,100000,"2127","SD-23-Y-A-V"
57,100000,"2128","SD-23-Y-A-VI"
58,100000,"0147","NA-21-Y-B-V"
59,100000,"2085","SD-23-Y-B-I"
60,100000,"2086","SD-23-Y-B-II"
61,100000,"2087","SD-23-Y-B-III"
62,100000,"2129","SD-23-Y-B-IV"
63,100000,"2130","SD-23-Y-B-V"
64,100000,"2131","SD-23-Y-B-VI"
65,100000,"2171","SD-23-Y-C-I"
66,100000,"2180","SD-23-Z-D-I"
67,100000,"2172","SD-23-Y-C-II"
68,100000,"2173","SD-23-Y-C-III"
69,100000,"0148","NA-21-Y-B-VI"
70,100000,"2215","SD-23-Y-C-IV"
71,100000,"2216","SD-23-Y-C-V"
72,100000,"2217","SD-23-Y-C-VI"
73,100000,"2174","SD-23-Y-D-I"
74,100000,"2175","SD-23-Y-D-II"
75,100000,"2176","SD-23-Y-D-III"
76,100000,"2218","SD-23-Y-D-IV"
77,100000,"2219","SD-23-Y-D-V"
78,100000,"2181","SD-23-Z-D-II"
79,100000,"2220","SD-23-Y-D-VI"
80,100000,"0184","NA-21-Y-C-I"
81,100000,"2088","SD-23-Z-A-I"
82,100000,"2089","SD-23-Z-A-II"
83,100000,"2090","SD-23-Z-A-III"
84,100000,"2132","SD-23-Z-A-IV"
85,100000,"2133","SD-23-Z-A-V"
86,100000,"2134","SD-23-Z-A-VI"
87,100000,"2091","SD-23-Z-B-I"
88,100000,"2092","SD-23-Z-B-II"
89,100000,"2093","SD-23-Z-B-III"
90,100000,"2182","SD-23-Z-D-III"
91,100000,"0185","NA-21-Y-C-II"
92,100000,"2135","SD-23-Z-B-IV"
93,100000,"2136","SD-23-Z-B-V"
94,100000,"2528","SE-23-Y-C-V"
95,100000,"2529","SE-23-Y-C-VI"
96,100000,"2492","SE-23-Y-D-I"
97,100000,"2493","SE-23-Y-D-II"
98,100000,"2494","SE-23-Y-D-III"
99,100000,"2530","SE-23-Y-D-IV"
100,100000,"2531","SE-23-Y-D-V"
101,100000,"2532","SE-23-Y-D-VI"
102,100000,"0186","NA-21-Y-C-III"
103,100000,"2224","SD-23-Z-D-IV"
104,100000,"2421","SE-23-Z-A-I"
105,100000,"2422","SE-23-Z-A-II"
106,100000,"1984","SD-22-V-D-III"
107,100000,"2029","SD-22-V-D-IV"
108,100000,"2030","SD-22-V-D-V"
109,100000,"2031","SD-22-V-D-VI"
110,100000,"1880","SD-22-X-A-I"
111,100000,"1881","SD-22-X-A-II"
112,100000,"1882","SD-22-X-A-III"
113,100000,"0711","SB-21-V-A-III"
114,100000,"0226","NA-21-Y-C-IV"
115,100000,"1934","SD-22-X-A-IV"
116,100000,"2225","SD-23-Z-D-V"
117,100000,"1935","SD-22-X-A-V"
118,100000,"1936","SD-22-X-A-VI"
119,100000,"1883","SD-22-X-B-I"
120,100000,"1884","SD-22-X-B-II"
121,100000,"1885","SD-22-X-B-III"
122,100000,"1937","SD-22-X-B-IV"
123,100000,"1938","SD-22-X-B-V"
124,100000,"1939","SD-22-X-B-VI"
125,100000,"0227","NA-21-Y-C-V"
126,100000,"1985","SD-22-X-C-I"
127,100000,"1986","SD-22-X-C-II"
128,100000,"0008","NB-20-Y-D-IV"
129,100000,"0028","NA-20-X-B-III"
130,100000,"2226","SD-23-Z-D-VI"
131,100000,"1987","SD-22-X-C-III"
132,100000,"2032","SD-22-X-C-IV"
133,100000,"2033","SD-22-X-C-V"
134,100000,"2034","SD-22-X-C-VI"
135,100000,"1988","SD-22-X-D-I"
136,100000,"0228","NA-21-Y-C-VI"
137,100000,"1989","SD-22-X-D-II"
138,100000,"1990","SD-22-X-D-III"
139,100000,"2035","SD-22-X-D-IV"
140,100000,"2322","SE-21-X-C-II"
141,100000,"2323","SE-21-X-C-III"
142,100000,"1898","SD-24-V-A-I"
143,100000,"2359","SE-21-X-C-IV"
144,100000,"2360","SE-21-X-C-V"
145,100000,"2361","SE-21-X-C-VI"
146,100000,"2324","SE-21-X-D-I"
147,100000,"0068","NA-20-V-D-VI"
148,100000,"2325","SE-21-X-D-II"
149,100000,"2326","SE-21-X-D-III"
150,100000,"2362","SE-21-X-D-IV"
151,100000,"2363","SE-21-X-D-V"
152,100000,"2364","SE-21-X-D-VI"
153,100000,"2397","SE-21-Z-A-I"
154,100000,"1899","SD-24-V-A-II"
155,100000,"2398","SE-21-Z-A-II"
156,100000,"2399","SE-21-Z-A-III"
157,100000,"2434","SE-21-Z-A-IV"
158,100000,"0022","NA-20-V-B-III"
159,100000,"2435","SE-21-Z-A-V"
160,100000,"2436","SE-21-Z-A-VI"
161,100000,"2400","SE-21-Z-B-I"
162,100000,"2401","SE-21-Z-B-II"
163,100000,"2402","SE-21-Z-B-III"
164,100000,"2437","SE-21-Z-B-IV"
165,100000,"2438","SE-21-Z-B-V"
166,100000,"1900","SD-24-V-A-III"
167,100000,"2439","SE-21-Z-B-VI"
168,100000,"2471","SE-21-Z-C-I"
169,100000,"0187","NA-21-Y-D-I"
170,100000,"2472","SE-21-Z-C-II"
171,100000,"2473","SE-21-Z-C-III"
172,100000,"2509","SE-21-Z-C-IV"
173,100000,"2375","SE-22-X-D-V"
174,100000,"2376","SE-22-X-D-VI"
175,100000,"2403","SE-22-Y-A-I"
176,100000,"2404","SE-22-Y-A-II"
177,100000,"2405","SE-22-Y-A-III"
178,100000,"1952","SD-24-V-A-IV"
179,100000,"2440","SE-22-Y-A-IV"
180,100000,"0188","NA-21-Y-D-II"
181,100000,"2441","SE-22-Y-A-V"
182,100000,"2442","SE-22-Y-A-VI"
183,100000,"2406","SE-22-Y-B-I"
184,100000,"2407","SE-22-Y-B-II"
185,100000,"2408","SE-22-Y-B-III"
186,100000,"2443","SE-22-Y-B-IV"
187,100000,"2444","SE-22-Y-B-V"
188,100000,"2445","SE-22-Y-B-VI"
189,100000,"2477","SE-22-Y-C-I"
190,100000,"1953","SD-24-V-A-V"
191,100000,"0189","NA-21-Y-D-III"
192,100000,"2478","SE-22-Y-C-II"
193,100000,"2479","SE-22-Y-C-III"
194,100000,"2515","SE-22-Y-C-IV"
195,100000,"2510","SE-21-Z-C-V"
196,100000,"2511","SE-21-Z-C-VI"
197,100000,"2474","SE-21-Z-D-I"
198,100000,"2475","SE-21-Z-D-II"
199,100000,"2476","SE-21-Z-D-III"
200,100000,"2512","SE-21-Z-D-IV"
201,100000,"2513","SE-21-Z-D-V"
202,100000,"0229","NA-21-Y-D-IV"
203,100000,"1954","SD-24-V-A-VI"
204,100000,"2514","SE-21-Z-D-VI"
205,100000,"2247","SE-22-V-A-I"
206,100000,"2248","SE-22-V-A-II"
207,100000,"2249","SE-22-V-A-III"
208,100000,"2287","SE-22-V-A-IV"
209,100000,"2288","SE-22-V-A-V"
210,100000,"2289","SE-22-V-A-VI"
211,100000,"2250","SE-22-V-B-I"
212,100000,"2251","SE-22-V-B-II"
213,100000,"0230","NA-21-Y-D-V"
214,100000,"2252","SE-22-V-B-III"
215,100000,"1901","SD-24-V-B-I"
216,100000,"2290","SE-22-V-B-IV"
217,100000,"2291","SE-22-V-B-V"
218,100000,"2292","SE-22-V-B-VI"
219,100000,"2327","SE-22-V-C-I"
220,100000,"2328","SE-22-V-C-II"
221,100000,"2329","SE-22-V-C-III"
222,100000,"2365","SE-22-V-C-IV"
223,100000,"2366","SE-22-V-C-V"
224,100000,"1759","SC-21-Z-D-II"
225,100000,"0231","NA-21-Y-D-VI"
226,100000,"2367","SE-22-V-C-VI"
227,100000,"2330","SE-22-V-D-I"
228,100000,"1902","SD-24-V-B-II"
229,100000,"2331","SE-22-V-D-II"
230,100000,"2332","SE-22-V-D-III"
231,100000,"2368","SE-22-V-D-IV"
232,100000,"2369","SE-22-V-D-V"
233,100000,"2370","SE-22-V-D-VI"
234,100000,"2253","SE-22-X-A-I"
235,100000,"2254","SE-22-X-A-II"
236,100000,"0110","NA-21-Z-A-I"
237,100000,"2255","SE-22-X-A-III"
238,100000,"2293","SE-22-X-A-IV"
239,100000,"2294","SE-22-X-A-V"
240,100000,"1903","SD-24-V-B-III"
241,100000,"2295","SE-22-X-A-VI"
242,100000,"2256","SE-22-X-B-I"
243,100000,"2257","SE-22-X-B-II"
244,100000,"2258","SE-22-X-B-III"
245,100000,"2296","SE-22-X-B-IV"
246,100000,"2297","SE-22-X-B-V"
247,100000,"0111","NA-21-Z-A-II"
248,100000,"2298","SE-22-X-B-VI"
249,100000,"2333","SE-22-X-C-I"
250,100000,"2334","SE-22-X-C-II"
251,100000,"2335","SE-22-X-C-III"
252,100000,"0039","NA-20-X-B-IV"
253,100000,"1955","SD-24-V-B-IV"
254,100000,"2371","SE-22-X-C-IV"
255,100000,"2372","SE-22-X-C-V"
256,100000,"2373","SE-22-X-C-VI"
257,100000,"2336","SE-22-X-D-I"
258,100000,"0495","SA-23-Z-A-II"
259,100000,"2337","SE-22-X-D-II"
260,100000,"2338","SE-22-X-D-III"
261,100000,"2374","SE-22-X-D-IV"
262,100000,"1958","SD-24-X-A-IV"
263,100000,"1959","SD-24-X-A-V"
264,100000,"1960","SD-24-X-A-VI"
265,100000,"1956","SD-24-V-B-V"
266,100000,"2009","SD-24-X-C-I"
267,100000,"2056","SD-24-X-C-IV"
268,100000,"2144","SD-24-Z-A-IV"
269,100000,"0495-A","SA-23-Z-A-III"
270,100000,"2189","SD-24-Z-C-I"
271,100000,"2233","SD-24-Z-C-IV"
272,100000,"2234","SE-20-X-B-III"
273,100000,"2235","SE-21-V-A-I"
274,100000,"2236","SE-21-V-A-II"
275,100000,"2237","SE-21-V-A-III"
276,100000,"2238","SE-21-V-B-I"
277,100000,"1957","SD-24-V-B-VI"
278,100000,"2239","SE-21-V-B-II"
279,100000,"2240","SE-21-V-B-III"
280,100000,"0033","NA-20-V-B-IV"
281,100000,"2278","SE-21-V-B-IV"
282,100000,"2279","SE-21-V-B-V"
283,100000,"2280","SE-21-V-B-VI"
284,100000,"2318","SE-21-V-D-I"
285,100000,"2319","SE-21-V-D-II"
286,100000,"2320","SE-21-V-D-III"
287,100000,"2357","SE-21-V-D-V"
288,100000,"2358","SE-21-V-D-VI"
289,100000,"2003","SD-24-V-C-I"
290,100000,"2241","SE-21-X-A-I"
291,100000,"0548","SA-23-Z-A-IV"
292,100000,"2242","SE-21-X-A-II"
293,100000,"2243","SE-21-X-A-III"
294,100000,"2281","SE-21-X-A-IV"
295,100000,"2282","SE-21-X-A-V"
296,100000,"2283","SE-21-X-A-VI"
297,100000,"2244","SE-21-X-B-I"
298,100000,"2245","SE-21-X-B-II"
299,100000,"2246","SE-21-X-B-III"
300,100000,"2284","SE-21-X-B-IV"
301,100000,"2004","SD-24-V-C-II"
302,100000,"0549","SA-23-Z-A-V"
303,100000,"2285","SE-21-X-B-V"
304,100000,"2286","SE-21-X-B-VI"
305,100000,"2321","SE-21-X-C-I"
306,100000,"2426","SE-23-Z-B-III"
307,100000,"2461","SE-23-Z-B-IV"
308,100000,"2462","SE-23-Z-B-V"
309,100000,"2463","SE-23-Z-B-VI"
310,100000,"2495","SE-23-Z-C-I"
311,100000,"2496","SE-23-Z-C-II"
312,100000,"2497","SE-23-Z-C-III"
313,100000,"0550","SA-23-Z-A-VI"
314,100000,"2395","SE-21-Y-B-II"
315,100000,"2533","SE-23-Z-C-IV"
316,100000,"2534","SE-23-Z-C-V"
317,100000,"2909","SG-22-Z-D-V"
318,100000,"2910","SG-22-Z-D-VI"
319,100000,"2812","SG-23-V-A-I"
320,100000,"2813","SG-23-V-A-II"
321,100000,"2814","SG-23-V-A-III"
322,100000,"2829","SG-23-V-A-IV"
323,100000,"2830","SG-23-V-A-V"
324,100000,"0496","SA-23-Z-B-I"
325,100000,"2815","SG-23-V-B-I"
326,100000,"2396","SE-21-Y-B-III"
327,100000,"2656","SF-21-X-C-VI"
328,100000,"1299","SC-19-V-A-II"
329,100000,"1300","SC-19-V-A-III"
330,100000,"1376","SC-19-V-A-IV"
331,100000,"1377","SC-19-V-A-V"
332,100000,"1378","SC-19-V-A-VI"
333,100000,"1301","SC-19-V-B-I"
334,100000,"1302","SC-19-V-B-II"
335,100000,"1760","SC-21-Z-D-III"
336,100000,"0497","SA-23-Z-B-II"
337,100000,"1303","SC-19-V-B-III"
338,100000,"1379","SC-19-V-B-IV"
339,100000,"0070","NA-20-X-C-V"
340,100000,"1941","SD-23-V-A-V"
341,100000,"1942","SD-23-V-A-VI"
342,100000,"1889","SD-23-V-B-I"
343,100000,"1890","SD-23-V-B-II"
344,100000,"1891","SD-23-V-B-III"
345,100000,"1943","SD-23-V-B-IV"
346,100000,"1944","SD-23-V-B-V"
347,100000,"0551","SA-23-Z-B-IV"
348,100000,"1945","SD-23-V-B-VI"
349,100000,"1991","SD-23-V-C-I"
350,100000,"2535","SE-23-Z-C-VI"
351,100000,"0071","NA-20-X-C-VI"
352,100000,"2498","SE-23-Z-D-I"
353,100000,"2499","SE-23-Z-D-II"
354,100000,"2500","SE-23-Z-D-III"
355,100000,"2536","SE-23-Z-D-IV"
356,100000,"2537","SE-23-Z-D-V"
357,100000,"2538","SE-23-Z-D-VI"
358,100000,"0552","SA-23-Z-B-V"
359,100000,"2271","SE-24-V-A-I"
360,100000,"2272","SE-24-V-A-II"
361,100000,"2622","SF-21-X-D-I"
362,100000,"2623","SF-21-X-D-II"
363,100000,"0053","NA-20-X-D-I"
364,100000,"2624","SF-21-X-D-III"
365,100000,"2657","SF-21-X-D-IV"
366,100000,"2658","SF-21-X-D-V"
367,100000,"2659","SF-21-X-D-VI"
368,100000,"2685-B","SF-21-Y-B-I"
369,100000,"0553","SA-23-Z-B-VI"
370,100000,"2686","SF-21-Y-B-II"
371,100000,"2687","SF-21-Y-B-III"
372,100000,"1380","SC-19-V-B-V"
373,100000,"1381","SC-19-V-B-VI"
374,100000,"1453","SC-19-V-C-I"
375,100000,"0040","NA-20-X-B-V"
376,100000,"0054","NA-20-X-D-II"
377,100000,"1454","SC-19-V-C-II"
378,100000,"1455","SC-19-V-C-III"
379,100000,"1528","SC-19-V-C-IV"
380,100000,"0609","SA-23-Z-C-I"
381,100000,"1529","SC-19-V-C-V"
382,100000,"1530","SC-19-V-C-VI"
383,100000,"1456","SC-19-V-D-I"
384,100000,"1992","SD-23-V-C-II"
385,100000,"1993","SD-23-V-C-III"
386,100000,"2038","SD-23-V-C-IV"
387,100000,"2039","SD-23-V-C-V"
388,100000,"0055","NA-20-X-D-III"
389,100000,"2040","SD-23-V-C-VI"
390,100000,"1994","SD-23-V-D-I"
391,100000,"0610","SA-23-Z-C-II"
392,100000,"1995","SD-23-V-D-II"
393,100000,"1996","SD-23-V-D-III"
394,100000,"2041","SD-23-V-D-IV"
395,100000,"2273","SE-24-V-A-III"
396,100000,"2311","SE-24-V-A-IV"
397,100000,"2312","SE-24-V-A-V"
398,100000,"2313","SE-24-V-A-VI"
399,100000,"2274","SE-24-V-B-I"
400,100000,"0072","NA-20-X-D-IV"
401,100000,"2275","SE-24-V-B-II"
402,100000,"0034","NA-20-V-B-V"
403,100000,"2276","SE-24-V-B-III"
404,100000,"2314","SE-24-V-B-IV"
405,100000,"2315","SE-24-V-B-V"
406,100000,"2688","SF-21-Z-A-I"
407,100000,"2689","SF-21-Z-A-II"
408,100000,"2690","SF-21-Z-A-III"
409,100000,"2720","SF-21-Z-A-VI"
410,100000,"2691","SF-21-Z-B-I"
411,100000,"2692","SF-21-Z-B-II"
412,100000,"0073","NA-20-X-D-V"
413,100000,"690","SB-19-V-B-III"
414,100000,"2693","SF-21-Z-B-III"
415,100000,"2721","SF-21-Z-B-IV"
416,100000,"2722","SF-21-Z-B-V"
417,100000,"1457","SC-19-V-D-II"
418,100000,"1458","SC-19-V-D-III"
419,100000,"1531","SC-19-V-D-IV"
420,100000,"1532","SC-19-V-D-V"
421,100000,"1533","SC-19-V-D-VI"
422,100000,"1304","SC-19-X-A-I"
423,100000,"1305","SC-19-X-A-II"
424,100000,"758","SB-19-V-B-IV"
425,100000,"0074","NA-20-X-D-VI"
426,100000,"1306","SC-19-X-A-III"
427,100000,"1382","SC-19-X-A-IV"
428,100000,"2042","SD-23-V-D-V"
429,100000,"2043","SD-23-V-D-VI"
430,100000,"1892","SD-23-X-A-I"
431,100000,"1893","SD-23-X-A-II"
432,100000,"1894","SD-23-X-A-III"
433,100000,"1946","SD-23-X-A-IV"
434,100000,"2605","SF-23-V-B-V"
435,100000,"759","SB-19-V-B-V"
436,100000,"2606","SF-23-V-B-VI"
437,100000,"0132","NA-20-Y-A-V"
438,100000,"2637","SF-23-V-C-I"
439,100000,"2316","SE-24-V-B-VI"
440,100000,"2351","SE-24-V-C-I"
441,100000,"2352","SE-24-V-C-II"
442,100000,"2353","SE-24-V-C-III"
443,100000,"2389","SE-24-V-C-IV"
444,100000,"2390","SE-24-V-C-V"
445,100000,"2391","SE-24-V-C-VI"
446,100000,"0169","NA-19-Z-D-I"
447,100000,"760","SB-19-V-B-VI"
448,100000,"2354","SE-24-V-D-I"
449,100000,"2355","SE-24-V-D-II"
450,100000,"0133","NA-20-Y-A-VI"
451,100000,"2723","SF-21-Z-B-VI"
452,100000,"2749","SF-21-Z-C-III"
453,100000,"2775","SF-21-Z-C-VI"
454,100000,"2750","SF-21-Z-D-I"
455,100000,"2751","SF-21-Z-D-II"
456,100000,"2752","SF-21-Z-D-III"
457,100000,"2776","SF-21-Z-D-IV"
458,100000,"0828","SB-19-V-C-I"
459,100000,"2777","SF-21-Z-D-V"
460,100000,"2778","SF-21-Z-D-VI"
461,100000,"1383","SC-19-X-A-V"
462,100000,"0096","NA-20-Y-B-I"
463,100000,"1384","SC-19-X-A-VI"
464,100000,"1307","SC-19-X-B-I"
465,100000,"1308","SC-19-X-B-II"
466,100000,"1309","SC-19-X-B-III"
467,100000,"1385","SC-19-X-B-IV"
468,100000,"1386","SC-19-X-B-V"
469,100000,"0829","SB-19-V-C-II"
470,100000,"1387","SC-19-X-B-VI"
471,100000,"1459","SC-19-X-C-I"
472,100000,"2638","SF-23-V-C-II"
473,100000,"2639","SF-23-V-C-III"
474,100000,"0097","NA-20-Y-B-II"
475,100000,"2672","SF-23-V-C-IV"
476,100000,"2673","SF-23-V-C-V"
477,100000,"2674","SF-23-V-C-VI"
478,100000,"2640","SF-23-V-D-I"
479,100000,"2641","SF-23-V-D-II"
480,100000,"0830","SB-19-V-C-III"
481,100000,"2642","SF-23-V-D-III"
482,100000,"2675","SF-23-V-D-IV"
483,100000,"2356","SE-24-V-D-III"
484,100000,"2392","SE-24-V-D-IV"
485,100000,"2393","SE-24-V-D-V"
486,100000,"0098","NA-20-Y-B-III"
487,100000,"2394","SE-24-V-D-VI"
488,100000,"2277","SE-24-X-A-I"
489,100000,"2317","SE-24-X-A-IV"
490,100000,"2427","SE-24-Y-A-I"
491,100000,"0905","SB-19-V-C-IV"
492,100000,"2428","SE-24-Y-A-II"
493,100000,"2429","SE-24-Y-A-III"
494,100000,"2553","SF-22-V-A-I"
495,100000,"2554","SF-22-V-A-II"
496,100000,"2555","SF-22-V-A-III"
497,100000,"2589","SF-22-V-A-IV"
498,100000,"0041","NA-20-X-B-VI"
499,100000,"0134","NA-20-Y-B-IV"
500,100000,"2590","SF-22-V-A-V"
501,100000,"2591","SF-22-V-A-VI"
502,100000,"0906","SB-19-V-C-V"
503,100000,"2556","SF-22-V-B-I"
504,100000,"2557","SF-22-V-B-II"
505,100000,"2558","SF-22-V-B-III"
506,100000,"1460","SC-19-X-C-II"
507,100000,"2883","SG-21-Z-D-III"
508,100000,"2896","SG-21-Z-D-IV"
509,100000,"2897","SG-21-Z-D-V"
510,100000,"2898","SG-21-Z-D-VI"
511,100000,"0135","NA-20-Y-B-V"
512,100000,"2800","SG-22-V-A-I"
513,100000,"0907","SB-19-V-C-VI"
514,100000,"2801","SG-22-V-A-II"
515,100000,"2802","SG-22-V-A-III"
516,100000,"2817","SG-22-V-A-IV"
517,100000,"2676","SF-23-V-D-V"
518,100000,"2677","SF-23-V-D-VI"
519,100000,"2571","SF-23-X-A-I"
520,100000,"2572","SF-23-X-A-II"
521,100000,"2573","SF-23-X-A-III"
522,100000,"2607","SF-23-X-A-IV"
523,100000,"0136","NA-20-Y-B-VI"
524,100000,"0035","NA-20-V-B-VI"
525,100000,"2608","SF-23-X-A-V"
526,100000,"2609","SF-23-X-A-VI"
527,100000,"2574","SF-23-X-B-I"
528,100000,"2464","SE-24-Y-A-IV"
529,100000,"2465","SE-24-Y-A-V"
530,100000,"2466","SE-24-Y-A-VI"
531,100000,"2430","SE-24-Y-B-I"
532,100000,"2431","SE-24-Y-B-II"
533,100000,"2431A","SE-24-Y-B-III"
534,100000,"2467","SE-24-Y-B-IV"
535,100000,"0831","SB-19-V-D-I"
536,100000,"0172","NA-20-Y-C-I"
537,100000,"2468","SE-24-Y-B-V"
538,100000,"2501","SE-24-Y-C-I"
539,100000,"2592","SF-22-V-B-IV"
540,100000,"2593","SF-22-V-B-V"
541,100000,"2594","SF-22-V-B-VI"
542,100000,"2625","SF-22-V-C-I"
543,100000,"2626","SF-22-V-C-II"
544,100000,"2627","SF-22-V-C-III"
545,100000,"2660","SF-22-V-C-IV"
546,100000,"0832","SB-19-V-D-II"
547,100000,"2661","SF-22-V-C-V"
548,100000,"0173","NA-20-Y-C-II"
549,100000,"2662","SF-22-V-C-VI"
550,100000,"2818","SG-22-V-A-V"
551,100000,"2819","SG-22-V-A-VI"
552,100000,"2803","SG-22-V-B-I"
553,100000,"2804","SG-22-V-B-II"
554,100000,"2911","SH-21-X-A-III"
555,100000,"2926","SH-21-X-A-V"
556,100000,"2927","SH-21-X-A-VI"
557,100000,"1815","SC-21-Z-D-IV"
558,100000,"0833","SB-19-V-D-III"
559,100000,"2912","SH-21-X-B-I"
560,100000,"2913","SH-21-X-B-II"
561,100000,"0174","NA-20-Y-C-III"
562,100000,"2575","SF-23-X-B-II"
563,100000,"2576","SF-23-X-B-III"
564,100000,"2610","SF-23-X-B-IV"
565,100000,"2611","SF-23-X-B-V"
566,100000,"2612","SF-23-X-B-VI"
567,100000,"2643","SF-23-X-C-I"
568,100000,"2644","SF-23-X-C-II"
569,100000,"2227","SD-24-Y-C-IV"
570,100000,"2645","SF-23-X-C-III"
571,100000,"2678","SF-23-X-C-IV"
572,100000,"2502","SE-24-Y-C-II"
573,100000,"0214","NA-20-Y-C-IV"
574,100000,"2503","SE-24-Y-C-III"
575,100000,"2539","SE-24-Y-C-IV"
576,100000,"2540","SE-24-Y-C-V"
577,100000,"2541","SE-24-Y-C-VI"
578,100000,"2504","SE-24-Y-D-I"
579,100000,"2505","SE-24-Y-D-II"
580,100000,"2228","SD-24-Y-C-V"
581,100000,"2542","SE-24-Y-D-IV"
582,100000,"2543","SE-24-Y-D-V"
583,100000,"2628","SF-22-V-D-I"
584,100000,"2629","SF-22-V-D-II"
585,100000,"0215","NA-20-Y-C-V"
586,100000,"2630","SF-22-V-D-III"
587,100000,"2663","SF-22-V-D-IV"
588,100000,"2664","SF-22-V-D-V"
589,100000,"2665","SF-22-V-D-VI"
590,100000,"2559","SF-22-X-A-I"
591,100000,"2229","SD-24-Y-C-VI"
592,100000,"2560","SF-22-X-A-II"
593,100000,"2561","SF-22-X-A-III"
594,100000,"2516","SE-22-Y-C-V"
595,100000,"2517","SE-22-Y-C-VI"
596,100000,"2480","SE-22-Y-D-I"
597,100000,"0216","NA-20-Y-C-VI"
598,100000,"2481","SE-22-Y-D-II"
599,100000,"2482","SE-22-Y-D-III"
600,100000,"2518","SE-22-Y-D-IV"
601,100000,"2519","SE-22-Y-D-V"
602,100000,"2186","SD-24-Y-D-I"
603,100000,"2520","SE-22-Y-D-VI"
604,100000,"2409","SE-22-Z-A-I"
605,100000,"2679","SF-23-X-C-V"
606,100000,"2680","SF-23-X-C-VI"
607,100000,"2646","SF-23-X-D-I"
608,100000,"2647","SF-23-X-D-II"
609,100000,"0175","NA-20-Y-D-I"
610,100000,"2648","SF-23-X-D-III"
611,100000,"2681","SF-23-X-D-IV"
612,100000,"2682","SF-23-X-D-V"
613,100000,"2187","SD-24-Y-D-II"
614,100000,"2683","SF-23-X-D-VI"
615,100000,"2706","SF-23-Y-A-I"
616,100000,"2544","SF-21-V-B-I"
617,100000,"2545","SF-21-V-B-II"
618,100000,"2546","SF-21-V-B-III"
619,100000,"2580-A","SF-21-V-B-IV"
620,100000,"2581","SF-21-V-B-V"
621,100000,"0050","NA-20-X-C-I"
622,100000,"0176","NA-20-Y-D-II"
623,100000,"2582","SF-21-V-B-VI"
624,100000,"2188","SD-24-Y-D-III"
625,100000,"2616","SF-21-V-D-I"
626,100000,"2617","SF-21-V-D-II"
627,100000,"2618","SF-21-V-D-III"
628,100000,"2595","SF-22-X-A-IV"
629,100000,"2596","SF-22-X-A-V"
630,100000,"2597","SF-22-X-A-VI"
631,100000,"2562","SF-22-X-B-I"
632,100000,"2563","SF-22-X-B-II"
633,100000,"2697","SF-22-Y-B-I"
634,100000,"0177","NA-20-Y-D-III"
635,100000,"2230","SD-24-Y-D-IV"
636,100000,"2698","SF-22-Y-B-II"
637,100000,"2699","SF-22-Y-B-III"
638,100000,"2727","SF-22-Y-B-IV"
639,100000,"2410","SE-22-Z-A-II"
640,100000,"2411","SE-22-Z-A-III"
641,100000,"2446","SE-22-Z-A-IV"
642,100000,"2447","SE-22-Z-A-V"
