"id","scale_denominator","mi","inom"
1,100000,"0007","NB-20-Y-C-VI"
2,100000,"0710","SB-21-V-A-II"
3,100000,"0671","SA-23-Y-D-VI"
4,100000,"1947","SD-23-X-A-V"
5,100000,"0027","NA-20-X-B-II"
6,100000,"2105","SD-21-Y-B-IV"
7,100000,"2137","SD-23-Z-B-VI"
8,100000,"2177","SD-23-Z-C-I"
9,100000,"2178","SD-23-Z-C-II"
10,100000,"2179","SD-23-Z-C-III"
11,100000,"2221","SD-23-Z-C-IV"
12,100000,"2005","SD-24-V-C-III"
13,100000,"2050","SD-24-V-C-IV"
14,100000,"0494","SA-23-Z-A-I"
15,100000,"2051","SD-24-V-C-V"
16,100000,"2052","SD-24-V-C-VI"
17,100000,"2006","SD-24-V-D-I"
18,100000,"2106","SD-21-Y-B-V"
19,100000,"2007","SD-24-V-D-II"
20,100000,"2008","SD-24-V-D-III"
21,100000,"2053","SD-24-V-D-IV"
22,100000,"2054","SD-24-V-D-V"
23,100000,"2055","SD-24-V-D-VI"
24,100000,"1904","SD-24-X-A-I"
25,100000,"0021","NA-20-V-B-II"
26,100000,"1905","SD-24-X-A-II"
27,100000,"1906","SD-24-X-A-III"
28,100000,"1948","SD-23-X-A-VI"
29,100000,"1895","SD-23-X-B-I"
30,100000,"2107","SD-21-Y-B-VI"
31,100000,"1896","SD-23-X-B-II"
32,100000,"1897","SD-23-X-B-III"
33,100000,"1949","SD-23-X-B-IV"
34,100000,"1950","SD-23-X-B-V"
35,100000,"1951","SD-23-X-B-VI"
36,100000,"0109","NA-21-Y-B-III"
37,100000,"1997","SD-23-X-C-I"
38,100000,"1998","SD-23-X-C-II"
39,100000,"1999","SD-23-X-C-III"
40,100000,"2044","SD-23-X-C-IV"
41,100000,"2045","SD-23-X-C-V"
42,100000,"2222","SD-23-Z-C-V"
43,100000,"2046","SD-23-X-C-VI"
44,100000,"2000","SD-23-X-D-I"
45,100000,"2001","SD-23-X-D-II"
46,100000,"2002","SD-23-X-D-III"
47,100000,"0146","NA-21-Y-B-IV"
48,100000,"2047","SD-23-X-D-IV"
49,100000,"2048","SD-23-X-D-V"
50,100000,"2049","SD-23-X-D-VI"
