"id","scale_denominator","mi","inom"
3216,250000,"0515","SG-23-V-C"
3217,250000,"0531","SH-21-V-D"
3218,250000,"0137","SB-20-V-B"
3219,250000,"0525","SH-21-X-A"
3220,250000,"0526","SH-21-X-B"
3221,250000,"0532","SH-21-X-C"
3222,250000,"0533","SH-21-X-D"
3223,250000,"0537","SH-21-Y-B"
3224,250000,"0538","SH-21-Z-A"
3225,250000,"0009","NA-20-X-A"
3226,250000,"0539","SH-21-Z-B"
3227,250000,"0543","SH-21-Z-C"
3228,250000,"0502","SF-23-Z-D"
3229,250000,"0021","NA-22-V-C"
3230,250000,"0359","SD-22-V-D"
3231,250000,"0343","SD-22-X-A"
3232,250000,"0344","SD-22-X-B"
3233,250000,"0360","SD-22-X-C"
3234,250000,"0361","SD-22-X-D"
3235,250000,"374","SD-22-Y-A"
3236,250000,"0375","SD-22-Y-B"
3237,250000,"0010","NA-20-X-B"
3238,250000,"0390","SD-22-Y-C"
3239,250000,"0391","SD-22-Y-D"
3240,250000,"0022","NA-22-V-D"
3241,250000,"0376","SD-22-Z-A"
3242,250000,"0377","SD-22-Z-B"
3243,250000,"0392","SD-22-Z-C"
3244,250000,"0393","SD-22-Z-D"
3245,250000,"0345","SD-23-V-A"
3246,250000,"0346","SD-23-V-B"
3247,250000,"0362","SD-23-V-C"
3248,250000,"0363","SD-23-V-D"
3249,250000,"0016","NA-20-X-C"
3250,250000,"0347","SD-23-X-A"
3251,250000,"0012-A","NA-22-X-A"
3252,250000,"0348","SD-23-X-B"
3253,250000,"0364","SD-23-X-C"
3254,250000,"0365","SD-23-X-D"
3255,250000,"0378","SD-23-Y-A"
3256,250000,"0379","SD-23-Y-B"
3257,250000,"0451","SE-23-Y-D"
3258,250000,"0439","SE-23-Z-A"
3259,250000,"0440","SE-23-Z-B"
3260,250000,"0452","SE-23-Z-C"
3261,250000,"0017","NA-20-X-D"
3262,250000,"0023","NA-22-X-C"
3263,250000,"0453","SE-23-Z-D"
3264,250000,"0414","SE-24-V-A"
3265,250000,"0415","SE-24-V-B"
3266,250000,"0428","SE-24-V-C"
3267,250000,"0429","SE-24-V-D"
3268,250000,"0416","SE-24-X-A"
3269,250000,"0441","SE-24-Y-A"
3270,250000,"0442","SE-24-Y-B"
3271,250000,"0454","SE-24-Y-C"
3272,250000,"0277","SC-22-V-D"
3273,250000,"0035","NA-22-Y-A"
3274,250000,"0027","NA-20-Y-A"
3275,250000,"0252","SC-22-X-A"
3276,250000,"0253","SC-22-X-B"
3277,250000,"0278","SC-22-X-C"
3278,250000,"0279","SC-22-X-D"
3279,250000,"0228","SB-23-Y-D"
3280,250000,"0202","SB-23-Z-A"
3281,250000,"0203","SB-23-Z-B"
3282,250000,"0229","SB-23-Z-C"
3283,250000,"0230","SB-23-Z-D"
3284,250000,"0059","SA-20-X-B"
3285,250000,"0036","NA-22-Y-B"
3286,250000,"0152","SB-24-V-A"
3287,250000,"0028","NA-20-Y-B"
3288,250000,"0153","SB-24-V-B"
3289,250000,"0177","SB-24-V-C"
3290,250000,"0178","SB-24-V-D"
3291,250000,"0154","SB-24-X-A"
3292,250000,"0155","SB-24-X-B"
3293,250000,"0179","SB-24-X-C"
3294,250000,"0168","SB-21-X-D"
3295,250000,"0192","SB-21-Y-A"
3296,250000,"0049","NA-22-Y-C"
3297,250000,"0193","SB-21-Y-B"
3298,250000,"0219","SB-21-Y-C"
3299,250000,"0041","NA-20-Y-C"
3300,250000,"0220","SB-21-Y-D"
3301,250000,"0194","SB-21-Z-A"
3302,250000,"0195","SB-21-Z-B"
3303,250000,"0221","SB-21-Z-C"
3304,250000,"0222","SB-21-Z-D"
3305,250000,"0144","SB-22-V-A"
3306,250000,"0145","SB-22-V-B"
3307,250000,"0050","NA-22-Y-D"
3308,250000,"0169","SB-22-V-C"
3309,250000,"0170","SB-22-V-D"
3310,250000,"0146","SB-22-X-A"
3311,250000,"0042","NA-20-Y-D"
3312,250000,"0147","SB-22-X-B"
3313,250000,"0171","SB-22-X-C"
3314,250000,"0172","SB-22-X-D"
3315,250000,"0196","SB-22-Y-A"
3316,250000,"0197","SB-22-Y-B"
3317,250000,"0223","SB-22-Y-C"
3318,250000,"0037","NA-22-Z-A"
3319,250000,"0224","SB-22-Y-D"
3320,250000,"0198","SB-22-Z-A"
3321,250000,"0199","SB-22-Z-B"
3322,250000,"0225","SB-22-Z-C"
3323,250000,"0004","NB-20-Z-C"
3324,250000,"0029","NA-20-Z-A"
3325,250000,"0226","SB-22-Z-D"
3326,250000,"0148","SB-23-V-A"
3327,250000,"0149","SB-23-V-B"
3328,250000,"0173","SB-23-V-C"
3329,250000,"0051","NA-22-Z-C"
3330,250000,"0174","SB-23-V-D"
3331,250000,"0150","SB-23-X-A"
3332,250000,"0151","SB-23-X-B"
3333,250000,"0175","SB-23-X-C"
3334,250000,"0176","SB-23-X-D"
3335,250000,"0200","SB-23-Y-A"
3336,250000,"0030","NA-20-Z-B"
3337,250000,"0201","SB-23-Y-B"
3338,250000,"0227","SB-23-Y-C"
3339,250000,"0545","SH-22-Y-C"
3340,250000,"0161","SB-20-V-C"
3341,250000,"0546","SH-22-Y-D"
3342,250000,"0542","SH-22-Z-A"
3343,250000,"0547","SH-22-Z-C"
3344,250000,"0548","SI-22-V-A"
3345,250000,"0549","SI-22-V-B"
3346,250000,"0550","SI-22-V-C"
3347,250000,"0251","SC-22-V-B"
3348,250000,"0043","NA-20-Z-C"
3349,250000,"0276","SC-22-V-C"
3350,250000,"0435","SE-22-Z-A"
3351,250000,"0052","NA-22-Z-D"
3352,250000,"0436","SE-22-Z-B"
3353,250000,"0448","SE-22-Z-C"
3354,250000,"0449","SE-22-Z-D"
3355,250000,"0410","SE-23-V-A"
3356,250000,"0411","SE-23-V-B"
3357,250000,"0424","SE-23-V-C"
3358,250000,"0425","SE-23-V-D"
3359,250000,"0412","SE-23-X-A"
3360,250000,"0044","NA-20-Z-D"
3361,250000,"0413","SE-23-X-B"
3362,250000,"0053","SA-19-V-B"
3363,250000,"0426","SE-23-X-C"
3364,250000,"0427","SE-23-X-D"
3365,250000,"0437","SE-23-Y-A"
3366,250000,"0438","SE-23-Y-B"
3367,250000,"0450","SE-23-Y-C"
3368,250000,"0290","SC-19-Y-B"
3369,250000,"0290-A","SC-19-Y-D"
3370,250000,"0291","SC-19-Z-A"
3371,250000,"0292","SC-19-Z-B"
3372,250000,"0011","NA-21-V-A"
3373,250000,"0070","SA-19-V-D"
3374,250000,"0312-A","SC-19-Z-C"
3375,250000,"0242","SC-20-V-A"
3376,250000,"0243","SC-20-V-B"
3377,250000,"0268","SC-20-V-C"
3378,250000,"0269","SC-20-V-D"
3379,250000,"0244","SC-20-X-A"
3380,250000,"0245","SC-20-X-B"
3381,250000,"0270","SC-20-X-C"
3382,250000,"0271","SC-20-X-D"
3383,250000,"0293","SC-20-Y-A"
3384,250000,"0054","SA-19-X-A"
3385,250000,"0018","NA-21-V-C"
3386,250000,"0294","SC-20-Y-B"
3387,250000,"0313","SC-20-Y-C"
3388,250000,"0314","SC-20-Y-D"
3389,250000,"0295","SC-20-Z-A"
3390,250000,"0358","SD-22-V-C"
3391,250000,"0400","SD-24-Z-C"
3392,250000,"0401","SE-20-X-B"
3393,250000,"0455","SE-24-Y-D"
3394,250000,"0456","SF-21-V-B"
3395,250000,"0075","SA-20-X-C"
3396,250000,"0055","SA-19-X-B"
3397,250000,"0469","SF-21-V-D"
3398,250000,"0018-A","NA-21-V-D"
3399,250000,"0457","SF-21-X-A"
3400,250000,"0458","SF-21-X-B"
3401,250000,"0470","SF-21-X-C"
3402,250000,"0471","SF-21-X-D"
