"id","label","iso_xml_path","field_type","is_static","possible_values","default_value","comments","old_path"
42,"Endereço da organização","MD_Identification-pointOfContact-address-deliveryPoint","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela produção do produto (eng responsável).","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact[1]/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString"
43,"Telefone da organização","MD_Identification-pointOfContact-phone-voice","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela produção do produto (eng responsável).","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact[1]/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString"
44,"Endereço eletrônico da organização","MD_Identification-pointOfContact-contactInfo-onlineResource-linkage","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela produção do produto (eng responsável).","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:pointOfContact[1]/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL"
45,"Função da organização","MD_Identification-pointOfContact-role","string","TRUE",,"produtor",,"/gmd:MD_Identification/gmd:pointOfContact/gmd:role/gmd:CI_RoleCode"
46,"Forma de apresentação","MD_Identification-citation-presentationForm","string","TRUE",,"mapDigital",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:presentationForm/gmd:CI_PresentationFormCode"
47,"Limitação de acesso","MD_LegalConstraints-accessConstraints","string","FALSE",,"copyright",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceConstraints[1]/gmd:MD_LegalConstraints/gmd:accessConstraints[1]/gco:CharacterString"
48,"Limitação de uso","MD_LegalConstraints-useLimitation","string","FALSE",,"copyright",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceConstraints[1]/gmd:MD_LegalConstraints/gmd:useLimitation[1]/gco:CharacterString"
49,"Restrições de uso","MD_LegalConstraints-useConstraints","string","FALSE",,"copyright",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceConstraints[1]/gmd:MD_LegalConstraints/gmd:useConstraints[1]/gco:CharacterString"
50,"Grau de sigilo","MD_SecurityConstraints-classification","string","FALSE",,"ostensivo",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceConstraints[1]/gmd:MD_SecurityConstraints/gmd:classification/gco:CharacterString"
51,"Uso específico","MD_Identification-resourceSpecificUsage-specificUsage","string","FALSE",,,,"MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceSpecificUsage[1]/gmd:MD_Usage/gmd:specificUsage/gco:CharacterString"
52,"Informação da organização","MD_Identification-resourceSpecificUsage-userContactInfo-organisationName","string","FALSE",,,"Acho que esse campo está errado","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceSpecificUsage[1]/gmd:MD_Usage/gmd:userContactInfo/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString"
